201003,2010-06-12T16:00,Argentina,Nigeria,1,0,B,Ellis Park Stadium,Johannesburg
201005,2010-06-12T20:30,England,USA,1,1,C,Royal Bafokeng Sports Palace,Phokeng
201006,2010-06-13T13:30,Algeria,Slovenia,0,1,C,Peter Mokaba Stadium,Polokwane
201008,2010-06-13T16:00,Serbia,Ghana,0,1,D,Loftus Versfeld Stadium,Tshwane/Pretoria
201007,2010-06-13T20:30,Germany,Australia,4,0,D,Durban Stadium,Durban
201009,2010-06-14T13:30,Netherlands,Denmark,2,0,E,Soccer City Stadium,Johannesburg
201010,2010-06-14T16:00,Japan,Cameroon,1,0,E,Free State Stadium,Mangaung/Bloemfontein
201011,2010-06-14T20:30,Italy,Paraguay,1,1,F,Cape Town Stadium,Cape Town
201012,2010-06-15T13:30,New Zealand,Slovakia,1,1,F,Royal Bafokeng Sports Palace,Phokeng
201013,2010-06-15T16:00,Côte d'Ivoire,Portugal,0,0,G,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
201014,2010-06-15T20:30,Brazil,Korea DPR,2,1,G,Ellis Park Stadium,Johannesburg
201015,2010-06-16T13:30,Honduras,Chile,0,1,H,Mbombela Stadium,Nelspruit
201016,2010-06-16T16:00,Spain,Switzerland,0,1,H,Durban Stadium,Durban
201017,2010-06-16T20:30,South Africa,Uruguay,0,3,A,Loftus Versfeld Stadium,Tshwane/Pretoria
201020,2010-06-17T13:30,Argentina,Korea Republic,4,1,B,Soccer City Stadium,Johannesburg
201019,2010-06-17T16:00,Greece,Nigeria,2,1,B,Free State Stadium,Mangaung/Bloemfontein
201018,2010-06-17T20:30,France,Mexico,0,2,A,Peter Mokaba Stadium,Polokwane
201021,2010-06-18T13:30,Germany,Serbia,0,1,D,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
201022,2010-06-18T16:00,Slovenia,USA,2,2,C,Ellis Park Stadium,Johannesburg
201023,2010-06-18T20:30,England,Algeria,0,0,C,Cape Town Stadium,Cape Town
201025,2010-06-19T13:30,Netherlands,Japan,1,0,E,Durban Stadium,Durban
201024,2010-06-19T16:00,Ghana,Australia,1,1,D,Royal Bafokeng Sports Palace,Phokeng
201026,2010-06-19T20:30,Cameroon,Denmark,1,2,E,Loftus Versfeld Stadium,Tshwane/Pretoria
201027,2010-06-20T13:30,Slovakia,Paraguay,0,2,F,Free State Stadium,Mangaung/Bloemfontein
201028,2010-06-20T16:00,Italy,New Zealand,1,1,F,Mbombela Stadium,Nelspruit
201029,2010-06-20T20:30,Brazil,Côte d'Ivoire,3,1,G,Soccer City Stadium,Johannesburg
201030,2010-06-21T13:30,Portugal,Korea DPR,7,0,G,Cape Town Stadium,Cape Town
201031,2010-06-21T16:00,Chile,Switzerland,1,0,H,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
201032,2010-06-21T20:30,Spain,Honduras,2,0,H,Ellis Park Stadium,Johannesburg
201033,2010-06-22T16:00,Mexico,Uruguay,0,1,A,Royal Bafokeng Sports Palace,Phokeng
201034,2010-06-22T16:00,France,South Africa,1,2,A,Free State Stadium,Mangaung/Bloemfontein
201035,2010-06-22T20:30,Nigeria,Korea Republic,2,2,B,Durban Stadium,Durban
201036,2010-06-22T20:30,Greece,Argentina,0,2,B,Peter Mokaba Stadium,Polokwane
201037,2010-06-23T16:00,Slovenia,England,0,1,C,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
201038,2010-06-23T16:00,USA,Algeria,1,0,C,Loftus Versfeld Stadium,Tshwane/Pretoria
201039,2010-06-23T20:30,Ghana,Germany,0,1,D,Soccer City Stadium,Johannesburg
201040,2010-06-23T20:30,Australia,Serbia,2,1,D,Mbombela Stadium,Nelspruit
201041,2010-06-24T16:00,Slovakia,Italy,3,2,F,Ellis Park Stadium,Johannesburg
201042,2010-06-24T16:00,Paraguay,New Zealand,0,0,F,Peter Mokaba Stadium,Polokwane
201043,2010-06-24T20:30,Denmark,Japan,1,3,E,Royal Bafokeng Sports Palace,Phokeng
201044,2010-06-24T20:30,Cameroon,Netherlands,1,2,E,Cape Town Stadium,Cape Town
201045,2010-06-25T16:00,Portugal,Brazil,0,0,G,Durban Stadium,Durban
201046,2010-06-25T16:00,Korea DPR,Côte d'Ivoire,0,3,G,Mbombela Stadium,Nelspruit
201047,2010-06-25T20:30,Chile,Spain,1,2,H,Loftus Versfeld Stadium,Tshwane/Pretoria
201048,2010-06-25T20:30,Switzerland,Honduras,0,0,H,Free State Stadium,Mangaung/Bloemfontein
201049,2010-06-26T16:00,Uruguay,Korea Republic,2,1,Knock,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
