Belgium,5,8,2,0,1,1,Paraguay,2,4,2,0,1,1,Belgium,1,3,1,0,0,1
Mexico,2,8,2,0,0,2,Bolivia,0,8,1,0,0,1,Norway,1,2,1,0,0,1
Scotland,0,8,2,0,0,2,,,,,,,,Dutch East Indies,0,6,1,0,0,1
Czechoslovakia,0,7,2,0,0,2,,,,,,,,Netherlands,0,3,1,0,0,1
Korea Republic,0,16,2,0,0,2,,,,,,,,,,,,,,
1934,进,丢,场,胜,平,负,1930,进,丢,场,胜,平,负,,,,,,,
Italy,12,3,5,4,1,0,Argentina,18,9,5,4,0,1,,,,,,,
Germany,11,8,4,3,0,1,Uruguay,15,3,4,4,0,0,,,,,,,
Czechoslovakia,9,6,4,3,0,1,USA,7,6,3,2,0,1,,,,,,,
Austria,7,7,4,2,0,2,Yugoslavia,7,7,3,2,0,1,,,,,,,
Spain,4,3,3,1,1,1,Chile,5,3,3,2,0,1,,,,,,,
Hungary,5,4,2,1,0,1,France,4,3,3,1,0,2,,,,,,,
Switzerland,5,5,2,1,0,1,Mexico,4,13,3,0,0,3,,,,,,,
Sweden,4,4,2,1,0,1,Brazil,5,2,2,1,0,1,,,,,,,
France,2,3,1,0,0,1,Romania,3,5,2,1,0,1,,,,,,,
Belgium,2,5,1,0,0,1,Paraguay,1,3,2,1,0,1,,,,,,,
Egypt,2,4,1,0,0,1,Peru,1,4,2,0,0,2,,,,,,,
Argentina,2,3,1,0,0,1,Belgium,0,4,2,0,0,2,,,,,,,
Netherlands,2,3,1,0,0,1,Bolivia,0,8,2,0,0,2,,,,,,,
Romania,1,2,1,0,0,1,,,,,,,,,,,,,,
USA,1,7,1,0,0,1,,,,,,,,,,,,,,
Brazil,1,3,1,0,0,1,,,,,,,,,,,,,,
